DEPARTAMENTO,MUNICIPIO
BOYACÁ,SORACÁ
BOYACÁ,SUSACÓN
BOYACÁ,SUTAMARCHÁN
BOYACÁ,SUTATENZA
BOYACÁ,TASCO
BOYACÁ,TENZA
BOYACÁ,TIBANÁ
BOYACÁ,TINJACÁ
BOYACÁ,TIPACOQUE
BOYACÁ,TOCA
BOLÍVAR,CARTAGENA
BOYACÁ,TÓPAGA
BOYACÁ,TOTA
BOYACÁ,TURMEQUÉ
ANTIOQUIA,GRANADA
BOYACÁ,TUTAZÁ
BOYACÁ,UMBITA
BOYACÁ,VENTAQUEMADA
BOYACÁ,VIRACACHÁ
BOYACÁ,ZETAQUIRA
CALDAS,MANIZALES
CALDAS,AGUADAS
CALDAS,ANSERMA
CALDAS,ARANZAZU
CALDAS,BELALCÁZAR
CALDAS,CHINCHINÁ
CALDAS,FILADELFIA
CALDAS,LA DORADA
CALDAS,LA MERCED
CALDAS,MANZANARES
CALDAS,MARMATO
CALDAS,MARULANDA
CALDAS,NEIRA
CALDAS,NORCASIA
CALDAS,PÁCORA
CALDAS,PALESTINA
CALDAS,PENSILVANIA
CALDAS,RIOSUCIO
CALDAS,RISARALDA
CALDAS,SALAMINA
CALDAS,SAMANÁ
CALDAS,SAN JOSÉ
CALDAS,SUPÍA
CALDAS,VICTORIA
CALDAS,VILLAMARÍA
CALDAS,VITERBO
CAQUETÁ,FLORENCIA
CAQUETÁ,ALBANIA
MAGDALENA,SANTA BÁRBARA DE PINTO
BOLÍVAR,MARÍA LA BAJA
CAQUETÁ,CURILLO
CAQUETÁ,EL DONCELLO
CAQUETÁ,EL PAUJIL
CAQUETÁ,MORELIA
CAQUETÁ,PUERTO RICO
CAQUETÁ,LA MONTAÑITA
CAQUETÁ,SAN VICENTE DEL CAGUÁN
CAQUETÁ,SOLANO
CAQUETÁ,SOLITA
CAQUETÁ,VALPARAÍSO
CAUCA,POPAYÁN
CAUCA,ALMAGUER
CAUCA,ARGELIA
CAUCA,BALBOA
CAUCA,BOLÍVAR
CAUCA,BUENOS AIRES
CAUCA,CAJIBÍO
CAUCA,CALDONO
CAUCA,CALOTO
CAUCA,CORINTO
CAUCA,EL TAMBO
CAUCA,FLORENCIA
CAUCA,GUACHENÉ
CAUCA,GUAPI
CAUCA,INZÁ
CAUCA,JAMBALÓ
CAUCA,LA SIERRA
CAUCA,LA VEGA
CAUCA,LÓPEZ
CAUCA,MERCADERES
CAUCA,MIRANDA
CAUCA,MORALES
CAUCA,PADILLA
CAUCA,PATÍA
CAUCA,PIAMONTE
CAUCA,PIENDAMÓ
CAUCA,PUERTO TEJADA
CAUCA,PURACÉ
CAUCA,ROSAS
SANTANDER,EL PEÑÓN
ANTIOQUIA,JARDÍN
CAUCA,SANTA ROSA
CAUCA,SILVIA
CAUCA,SOTARA
CAUCA,SUÁREZ
CAUCA,SUCRE
CAUCA,TIMBÍO
CAUCA,TIMBIQUÍ
CAUCA,TORIBIO
CAUCA,TOTORÓ
CAUCA,VILLA RICA
CESAR,VALLEDUPAR
CESAR,AGUACHICA
CESAR,AGUSTÍN CODAZZI
CESAR,ASTREA
CESAR,BECERRIL
CESAR,BOSCONIA
CESAR,CHIMICHAGUA
CESAR,CHIRIGUANÁ
CESAR,CURUMANÍ
CESAR,EL COPEY
CESAR,EL PASO
CESAR,GAMARRA
CESAR,GONZÁLEZ
CESAR,LA GLORIA
VALLE DEL CAUCA,JAMUNDÍ
CESAR,MANAURE
CESAR,PAILITAS
CESAR,PELAYA
CESAR,PUEBLO BELLO
CHOCÓ,TADÓ
CESAR,LA PAZ
CESAR,SAN ALBERTO
CESAR,SAN DIEGO
CESAR,SAN MARTÍN
CESAR,TAMALAMEQUE
CÓRDOBA,MONTERÍA
CÓRDOBA,AYAPEL
CÓRDOBA,BUENAVISTA
CÓRDOBA,CANALETE
CÓRDOBA,CERETÉ
CÓRDOBA,CHIMÁ
CÓRDOBA,CHINÚ
CASANARE,OROCUÉ
CÓRDOBA,COTORRA
TOLIMA,LÍBANO
CÓRDOBA,LORICA
CÓRDOBA,LOS CÓRDOBAS
CÓRDOBA,MOMIL
CÓRDOBA,MOÑITOS
CÓRDOBA,PLANETA RICA
CÓRDOBA,PUEBLO NUEVO
CÓRDOBA,PUERTO ESCONDIDO
CUNDINAMARCA,YACOPÍ
CÓRDOBA,PURÍSIMA
CÓRDOBA,SAHAGÚN
CÓRDOBA,SAN ANDRÉS SOTAVENTO
CÓRDOBA,SAN ANTERO
QUINDÍO,CALARCÁ
ANTIOQUIA,SONSÓN
NORTE DE SANTANDER,EL CARMEN
CÓRDOBA,SAN PELAYO
CÓRDOBA,TIERRALTA
CÓRDOBA,TUCHÍN
CÓRDOBA,VALENCIA
TOLIMA,LÉRIDA
CUNDINAMARCA,ANAPOIMA
CUNDINAMARCA,ARBELÁEZ
CUNDINAMARCA,BELTRÁN
CUNDINAMARCA,BITUIMA
CUNDINAMARCA,BOJACÁ
CUNDINAMARCA,CABRERA
CUNDINAMARCA,CACHIPAY
CUNDINAMARCA,CAJICÁ
CUNDINAMARCA,CAPARRAPÍ
CUNDINAMARCA,CAQUEZA
CÓRDOBA,LA APARTADA
CUNDINAMARCA,CHAGUANÍ
CUNDINAMARCA,CHIPAQUE
CUNDINAMARCA,CHOACHÍ
CUNDINAMARCA,CHOCONTÁ
CUNDINAMARCA,COGUA
CUNDINAMARCA,COTA
CUNDINAMARCA,CUCUNUBÁ
CUNDINAMARCA,EL COLEGIO
CUNDINAMARCA,EL ROSAL
CUNDINAMARCA,FOMEQUE
CUNDINAMARCA,FOSCA
CUNDINAMARCA,FUNZA
CUNDINAMARCA,FÚQUENE
CUNDINAMARCA,GACHALA
CUNDINAMARCA,GACHANCIPÁ
CUNDINAMARCA,GACHETÁ
BOLÍVAR,SAN CRISTÓBAL
CUNDINAMARCA,GIRARDOT
CUNDINAMARCA,GRANADA
CUNDINAMARCA,GUACHETÁ
CUNDINAMARCA,GUADUAS
CUNDINAMARCA,GUASCA
CUNDINAMARCA,GUATAQUÍ
CUNDINAMARCA,GUATAVITA
CUNDINAMARCA,FUSAGASUGÁ
CUNDINAMARCA,GUAYABETAL
CUNDINAMARCA,GUTIÉRREZ
CUNDINAMARCA,JERUSALÉN
CUNDINAMARCA,JUNÍN
CUNDINAMARCA,LA CALERA
CUNDINAMARCA,LA MESA
CUNDINAMARCA,LA PALMA
CUNDINAMARCA,LA PEÑA
CUNDINAMARCA,LA VEGA
CUNDINAMARCA,LENGUAZAQUE
CUNDINAMARCA,MACHETA
CUNDINAMARCA,MADRID
CUNDINAMARCA,MANTA
CUNDINAMARCA,MEDINA
CUNDINAMARCA,MOSQUERA
CUNDINAMARCA,NARIÑO
CUNDINAMARCA,NEMOCÓN
CUNDINAMARCA,NILO
CUNDINAMARCA,NIMAIMA
CUNDINAMARCA,NOCAIMA
CUNDINAMARCA,VENECIA
CUNDINAMARCA,PACHO
CUNDINAMARCA,PAIME
CUNDINAMARCA,PANDI
CUNDINAMARCA,PARATEBUENO
CUNDINAMARCA,PASCA
CUNDINAMARCA,PUERTO SALGAR
CUNDINAMARCA,PULÍ
CUNDINAMARCA,QUEBRADANEGRA
CUNDINAMARCA,QUETAME
CUNDINAMARCA,QUIPILE
CUNDINAMARCA,APULO
CUNDINAMARCA,RICAURTE
BOLÍVAR,ZAMBRANO
CUNDINAMARCA,SAN BERNARDO
CUNDINAMARCA,SAN CAYETANO
CUNDINAMARCA,SAN FRANCISCO
BOYACÁ,LA UVITA
CUNDINAMARCA,ZIPAQUIRÁ
CUNDINAMARCA,SESQUILÉ
CUNDINAMARCA,SIBATÉ
CUNDINAMARCA,SILVANIA
CUNDINAMARCA,SIMIJACA
CUNDINAMARCA,SOACHA
CUNDINAMARCA,SUBACHOQUE
CUNDINAMARCA,SUESCA
CUNDINAMARCA,SUPATÁ
CUNDINAMARCA,SUSA
CUNDINAMARCA,SUTATAUSA
CUNDINAMARCA,TABIO
QUINDÍO,GÉNOVA
CUNDINAMARCA,TAUSA
CUNDINAMARCA,TENA
CUNDINAMARCA,TENJO
CUNDINAMARCA,TIBACUY
CUNDINAMARCA,TIBIRITA
CUNDINAMARCA,TOCAIMA
CUNDINAMARCA,TOCANCIPÁ
CUNDINAMARCA,TOPAIPÍ
CUNDINAMARCA,UBALÁ
CUNDINAMARCA,UBAQUE
TOLIMA,SUÁREZ
CUNDINAMARCA,UNE
CUNDINAMARCA,ÚTICA
META,CASTILLA LA NUEVA
CUNDINAMARCA,VIANÍ
CUNDINAMARCA,VILLAGÓMEZ
CUNDINAMARCA,VILLAPINZÓN
CUNDINAMARCA,VILLETA
CUNDINAMARCA,VIOTÁ
CUNDINAMARCA,ZIPACÓN
CHOCÓ,QUIBDÓ
CHOCÓ,ACANDÍ
CHOCÓ,ALTO BAUDO
CHOCÓ,ATRATO
CHOCÓ,BAGADÓ
CHOCÓ,BAHÍA SOLANO
CHOCÓ,BAJO BAUDÓ
BOYACÁ,BELÉN
CHOCÓ,BOJAYA
CHOCÓ,UNIÓN PANAMERICANA
MAGDALENA,PUEBLO VIEJO
CHOCÓ,CÉRTEGUI
CHOCÓ,CONDOTO
PUTUMAYO,VILLAGARZÓN
CUNDINAMARCA,FACATATIVÁ
CHOCÓ,JURADÓ
CHOCÓ,LLORÓ
CHOCÓ,MEDIO ATRATO
CHOCÓ,MEDIO BAUDÓ
CHOCÓ,MEDIO SAN JUAN
CHOCÓ,NÓVITA
CHOCÓ,NUQUÍ
CHOCÓ,RÍO IRO
CHOCÓ,RÍO QUITO
CHOCÓ,RIOSUCIO
CÓRDOBA,PUERTO LIBERTADOR
CHOCÓ,SIPÍ
CHOCÓ,UNGUÍA
HUILA,NEIVA
HUILA,ACEVEDO
HUILA,AGRADO
HUILA,AIPE
HUILA,ALGECIRAS
HUILA,ALTAMIRA
HUILA,BARAYA
HUILA,CAMPOALEGRE
HUILA,COLOMBIA
HUILA,ELÍAS
HUILA,GARZÓN
HUILA,GIGANTE
HUILA,GUADALUPE
HUILA,HOBO
HUILA,IQUIRA
HUILA,ISNOS
HUILA,LA ARGENTINA
HUILA,LA PLATA
CALDAS,MARQUETALIA
HUILA,NÁTAGA
HUILA,OPORAPA
HUILA,PAICOL
HUILA,PALERMO
HUILA,PALESTINA
HUILA,PITAL
HUILA,PITALITO
HUILA,RIVERA
HUILA,SALADOBLANCO
NARIÑO,ARBOLEDA
HUILA,SANTA MARÍA
HUILA,SUAZA
HUILA,TARQUI
HUILA,TESALIA
HUILA,TELLO
HUILA,TERUEL
HUILA,TIMANÁ
HUILA,VILLAVIEJA
HUILA,YAGUARÁ
LA GUAJIRA,RIOHACHA
LA GUAJIRA,ALBANIA
LA GUAJIRA,BARRANCAS
LA GUAJIRA,DIBULA
LA GUAJIRA,DISTRACCIÓN
LA GUAJIRA,EL MOLINO
LA GUAJIRA,FONSECA
LA GUAJIRA,HATONUEVO
LA GUAJIRA,MAICAO
LA GUAJIRA,MANAURE
LA GUAJIRA,URIBIA
LA GUAJIRA,URUMITA
LA GUAJIRA,VILLANUEVA
MAGDALENA,SANTA MARTA
MAGDALENA,ALGARROBO
MAGDALENA,ARACATACA
MAGDALENA,ARIGUANÍ
MAGDALENA,CERRO SAN ANTONIO
MAGDALENA,CHIVOLO
MAGDALENA,CONCORDIA
MAGDALENA,EL BANCO
MAGDALENA,EL PIÑON
MAGDALENA,EL RETÉN
MAGDALENA,FUNDACIÓN
MAGDALENA,GUAMAL
MAGDALENA,NUEVA GRANADA
MAGDALENA,PEDRAZA
MAGDALENA,PIVIJAY
MAGDALENA,PLATO
MAGDALENA,REMOLINO
MAGDALENA,SALAMINA
MAGDALENA,SAN ZENÓN
MAGDALENA,SANTA ANA
MAGDALENA,SITIONUEVO
MAGDALENA,TENERIFE
MAGDALENA,ZAPAYÁN
MAGDALENA,ZONA BANANERA
META,VILLAVICENCIO
META,ACACIAS
META,CABUYARO
META,CUBARRAL
META,CUMARAL
META,EL CALVARIO
META,EL CASTILLO
META,EL DORADO
VALLE DEL CAUCA,BUENAVENTURA
META,GRANADA
META,GUAMAL
META,MAPIRIPÁN
META,MESETAS
META,LA MACARENA
META,URIBE
META,LEJANÍAS
META,PUERTO CONCORDIA
META,PUERTO GAITÁN
META,PUERTO LÓPEZ
META,PUERTO LLERAS
META,PUERTO RICO
META,RESTREPO
MAGDALENA,CIÉNAGA
ATLÁNTICO,PONEDERA
META,SAN JUANITO
META,SAN MARTÍN
META,VISTA HERMOSA
NARIÑO,PASTO
NARIÑO,ALBÁN
NARIÑO,ALDANA
NARIÑO,ANCUYÁ
BOYACÁ,TUNUNGUÁ
NARIÑO,BARBACOAS
BOYACÁ,MOTAVITA
CÓRDOBA,SAN BERNARDO DEL VIENTO
NARIÑO,COLÓN
NARIÑO,CONSACA
NARIÑO,CONTADERO
NARIÑO,CÓRDOBA
NARIÑO,CUASPUD
NARIÑO,CUMBAL
NARIÑO,CUMBITARA
NARIÑO,EL CHARCO
NARIÑO,EL PEÑOL
NARIÑO,EL ROSARIO
CHOCÓ,ISTMINA
NARIÑO,EL TAMBO
NARIÑO,FUNES
NARIÑO,GUACHUCAL
NARIÑO,GUAITARILLA
NARIÑO,GUALMATÁN
NARIÑO,ILES
NARIÑO,IMUÉS
NARIÑO,IPIALES
NARIÑO,LA CRUZ
NARIÑO,LA FLORIDA
NARIÑO,LA LLANADA
NARIÑO,LA TOLA
NARIÑO,LA UNIÓN
NARIÑO,LEIVA
NARIÑO,LINARES
NARIÑO,LOS ANDES
NARIÑO,MAGÜÍ
NARIÑO,MALLAMA
NARIÑO,MOSQUERA
NARIÑO,NARIÑO
NARIÑO,OLAYA HERRERA
NARIÑO,OSPINA
NARIÑO,FRANCISCO PIZARRO
NARIÑO,POLICARPA
NARIÑO,POTOSÍ
NARIÑO,PROVIDENCIA
NARIÑO,PUERRES
NARIÑO,PUPIALES
NARIÑO,RICAURTE
NARIÑO,ROBERTO PAYÁN
NARIÑO,SAMANIEGO
NARIÑO,SANDONÁ
NARIÑO,SAN BERNARDO
NARIÑO,SAN LORENZO
NARIÑO,SAN PABLO
ANTIOQUIA,BELMIRA
BOYACÁ,CIÉNEGA
NARIÑO,SANTA BÁRBARA
NARIÑO,SAPUYES
NARIÑO,TAMINANGO
NARIÑO,TANGUA
NARIÑO,SANTACRUZ
NARIÑO,TÚQUERRES
NARIÑO,YACUANQUER
SANTANDER,PUERTO WILCHES
SANTANDER,PUERTO PARRA
QUINDÍO,ARMENIA
QUINDÍO,BUENAVISTA
QUINDÍO,CIRCASIA
QUINDÍO,CÓRDOBA
QUINDÍO,FILANDIA
QUINDÍO,LA TEBAIDA
QUINDÍO,MONTENEGRO
QUINDÍO,PIJAO
QUINDÍO,QUIMBAYA
QUINDÍO,SALENTO
RISARALDA,PEREIRA
RISARALDA,APÍA
RISARALDA,BALBOA
RISARALDA,DOSQUEBRADAS
RISARALDA,GUÁTICA
RISARALDA,LA CELIA
RISARALDA,LA VIRGINIA
RISARALDA,MARSELLA
RISARALDA,MISTRATÓ
RISARALDA,PUEBLO RICO
RISARALDA,QUINCHÍA
RISARALDA,SANTUARIO
SANTANDER,BUCARAMANGA
SANTANDER,AGUADA
SANTANDER,ALBANIA
SANTANDER,ARATOCA
SANTANDER,BARBOSA
SANTANDER,BARICHARA
SANTANDER,BARRANCABERMEJA
SANTANDER,BETULIA
SANTANDER,BOLÍVAR
SANTANDER,CABRERA
SANTANDER,CALIFORNIA
SANTANDER,CARCASÍ
SANTANDER,CEPITÁ
SANTANDER,CERRITO
SANTANDER,CHARALÁ
SANTANDER,CHARTA
SANTANDER,CHIPATÁ
SANTANDER,CIMITARRA
SANTANDER,CONCEPCIÓN
SANTANDER,CONFINES
SANTANDER,CONTRATACIÓN
SANTANDER,COROMORO
SANTANDER,CURITÍ
SANTANDER,EL GUACAMAYO
SANTANDER,EL PLAYÓN
SANTANDER,ENCINO
SANTANDER,ENCISO
SANTANDER,FLORIÁN
SANTANDER,FLORIDABLANCA
SANTANDER,GALÁN
SANTANDER,GAMBITA
SANTANDER,GIRÓN
SANTANDER,GUACA
SANTANDER,GUADALUPE
SANTANDER,GUAPOTÁ
SANTANDER,GUAVATÁ
SANTANDER,GÜEPSA
SANTANDER,JESÚS MARÍA
SANTANDER,JORDÁN
SANTANDER,LA BELLEZA
SANTANDER,LANDÁZURI
SANTANDER,LA PAZ
SANTANDER,LEBRÍJA
SANTANDER,LOS SANTOS
SANTANDER,MACARAVITA
SANTANDER,MÁLAGA
SANTANDER,MATANZA
SANTANDER,MOGOTES
SANTANDER,MOLAGAVITA
SANTANDER,OCAMONTE
SANTANDER,OIBA
SANTANDER,ONZAGA
SANTANDER,PALMAR
SANTANDER,PÁRAMO
SANTANDER,PIEDECUESTA
SANTANDER,PINCHOTE
SANTANDER,PUENTE NACIONAL
SANTANDER,RIONEGRO
SANTANDER,SAN ANDRÉS
SANTANDER,SAN GIL
SANTANDER,SAN JOAQUÍN
SANTANDER,SAN MIGUEL
SANTANDER,SANTA BÁRBARA
SANTANDER,SIMACOTA
SANTANDER,SOCORRO
SANTANDER,SUAITA
SANTANDER,SUCRE
SANTANDER,SURATÁ
SANTANDER,TONA
SANTANDER,VÉLEZ
SANTANDER,VETAS
SANTANDER,VILLANUEVA
SANTANDER,ZAPATOCA
SUCRE,SINCELEJO
SUCRE,BUENAVISTA
SUCRE,CAIMITO
SUCRE,COLOSO
SUCRE,COVEÑAS
SUCRE,CHALÁN
SUCRE,EL ROBLE
SUCRE,GALERAS
SUCRE,GUARANDA
SUCRE,LA UNIÓN
SUCRE,LOS PALMITOS
SUCRE,MAJAGUAL
SUCRE,MORROA
SUCRE,OVEJAS
SUCRE,PALMITO
SUCRE,SAN BENITO ABAD
SUCRE,SAN MARCOS
SUCRE,SAN ONOFRE
